timestamp,name,X,Y,pitch,loaded,material,destination_label,destination_id,task_id,status
0,1,50,26,180,false,,,,,idle
0,2,50,26,180,false,,,,,idle
0,3,50,26,180,false,,,,,idle
0,4,50,26,180,false,,,,,idle
0,5,50,26,180,false,,,,,idle
0,6,50,26,180,false,,,,,idle
0,7,50,26,180,false,,,,,idle
0,8,50,26,180,false,,,,,idle
1,1,49,26,180,false,,,,,to_pickup
1,2,50,27,90,false,,,,,to_pickup
1,3,50,25,270,false,,,,,to_pickup
1,4,50,26,180,false,,,,,to_pickup
1,5,50,26,180,false,,,,,to_pickup
1,6,50,26,180,false,,,,,to_pickup
1,7,50,26,180,false,,,,,to_pickup
1,8,50,26,180,false,,,,,to_pickup
2,1,48,26,180,false,,,,,to_pickup
2,2,49,27,180,false,,,,,to_pickup
2,3,49,25,180,false,,,,,to_pickup
2,4,49,26,180,false,,,,,to_pickup
2,5,50,25,270,false,,,,,to_pickup
2,6,50,26,180,false,,,,,to_pickup
2,7,50,26,180,false,,,,,to_pickup
2,8,50,27,90,false,,,,,to_pickup
3,1,48,25,270,false,,,,,to_pickup
3,2,48,27,180,false,,,,,to_pickup
3,3,49,24,270,false,,,,,to_pickup
3,4,48,26,180,false,,,,,to_pickup
3,5,49,25,180,false,,,,,to_pickup
3,6,49,26,180,false,,,,,to_pickup
3,7,50,25,270,false,,,,,to_pickup
3,8,49,27,180,false,,,,,to_pickup
4,1,47,25,180,false,,,,,to_pickup
4,2,47,27,180,false,,,,,to_pickup
4,3,48,24,180,false,,,,,to_pickup
4,4,48,27,90,false,,,,,to_pickup
4,5,48,25,180,false,,,,,to_pickup
4,6,48,26,180,false,,,,,to_pickup
4,7,49,25,180,false,,,,,to_pickup
4,8,49,28,90,false,,,,,to_pickup
5,1,46,25,180,false,,,,,to_pickup
5,2,46,27,180,false,,,,,to_pickup
5,3,47,24,180,false,,,,,to_pickup
5,4,47,27,180,false,,,,,to_pickup
5,5,47,25,180,false,,,,,to_pickup
5,6,48,27,90,false,,,,,to_pickup
5,7,48,25,180,false,,,,,to_pickup
5,8,48,28,180,false,,,,,to_pickup
6,1,46,25,180,false,,,,,loading
6,2,46,27,180,false,,,,,loading
6,3,46,24,180,false,,,,,to_pickup
6,4,47,28,90,false,,,,,to_pickup
6,5,47,25,180,false,,,,,to_pickup
6,6,47,27,180,false,,,,,to_pickup
6,7,48,24,270,false,,,,,to_pickup
6,8,48,29,90,false,,,,,to_pickup
7,1,46,25,180,false,,,,,loading
7,2,46,27,180,false,,,,,loading
7,3,46,24,180,false,,,,,to_pickup
7,4,46,28,180,false,,,,,to_pickup
7,5,47,24,270,false,,,,,to_pickup
7,6,47,28,90,false,,,,,to_pickup
7,7,48,23,270,false,,,,,to_pickup
7,8,47,29,180,false,,,,,to_pickup
8,1,45,25,180,true,M1,140C,DP-140C-01,T0014,delivering
8,2,45,27,180,true,M1,130B,DP-130B-01,T0011,delivering
8,3,46,25,90,false,,,,,to_pickup
8,4,46,27,270,false,,,,,to_pickup
8,5,46,24,180,false,,,,,to_pickup
8,6,46,28,180,false,,,,,to_pickup
8,7,47,23,180,false,,,,,to_pickup
8,8,46,29,180,false,,,,,to_pickup
9,1,44,25,180,true,M1,140C,DP-140C-01,T0014,delivering
9,2,44,27,180,true,M1,130B,DP-130B-01,T0011,delivering
9,3,46,25,90,false,,,,,loading
9,4,46,27,270,false,,,,,loading
9,5,46,24,180,false,,,,,to_pickup
9,6,46,28,180,false,,,,,to_pickup
9,7,46,23,180,false,,,,,to_pickup
9,8,45,29,180,false,,,,,to_pickup
10,1,43,25,180,true,M1,140C,DP-140C-01,T0014,delivering
10,2,43,27,180,true,M1,130B,DP-130B-01,T0011,delivering
10,3,46,25,90,false,,,,,loading
10,4,46,27,270,false,,,,,loading
10,5,46,24,180,false,,,,,to_pickup
10,6,46,28,180,false,,,,,to_pickup
10,7,46,23,180,false,,,,,to_pickup
10,8,45,28,270,false,,,,,to_pickup
11,1,42,25,180,true,M1,140C,DP-140C-01,T0014,delivering
11,2,42,27,180,true,M1,130B,DP-130B-01,T0011,delivering
11,3,45,25,180,true,M5,140C,DP-140C-02,T0023,delivering
11,4,45,27,180,true,M5,209C,DP-209C-01,T0004,delivering
11,5,46,25,90,false,,,,,to_pickup
11,6,46,27,270,false,,,,,to_pickup
11,7,46,24,90,false,,,,,to_pickup
11,8,46,28,270,false,,,,,to_pickup
12,1,41,25,180,true,M1,140C,DP-140C-01,T0014,delivering
